City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
690,Kapaa,US,78.8,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
693,Atuona,PF,77.61,overcast clouds,-9.8,-139.03,Villa Enata
696,Hamilton,US,73.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
697,Vaini,TO,71.6,few clouds,-21.2,-175.2,Keleti Beach Resort
702,Bethel,US,73.99,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
705,Ndola,ZM,75.33,overcast clouds,-12.96,28.64,Chabanga Lodge iSpot
714,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
715,Saint-Philippe,RE,73.4,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
716,Torrington,US,72.0,clear sky,41.8,-73.12,The Yankee Pedlar Inn
717,Ranong,TH,77.2,few clouds,9.97,98.63,Tinidee Hotel@Ranong
718,Aden,YE,79.72,clear sky,12.78,45.04,Sama Emirate Hotel
720,Kathu,TH,84.99,light rain,7.92,98.33,Novotel Phuket Resort
722,Hilo,US,75.2,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
727,Carnarvon,AU,71.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
731,Rikitea,PF,71.24,broken clouds,-23.12,-134.97,Pension Maro'i
733,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
734,Mwense,ZM,76.6,clear sky,-10.38,28.7,GrandPalm Lodge
735,Bossangoa,CF,75.88,overcast clouds,6.49,17.46,LA PERLE DE BOSTON
736,Kongoussi,BF,81.7,clear sky,13.33,-1.53,Hotel Têed Wende
745,Kavaratti,IN,83.16,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
748,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
750,Eyl,SO,78.15,scattered clouds,7.98,49.82,Amiin Hotel
751,Cairns,AU,75.2,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
753,Ihosy,MG,71.91,scattered clouds,-22.4,46.12,Hotely Sariaka
754,Kloulklubed,PW,77.0,moderate rain,7.04,134.26,Storyboard Beach Resort
755,Ikirun,NG,75.78,overcast clouds,7.92,4.67,"De-Marvellous Guest House, Obaagun"
757,Manaure,CO,83.64,overcast clouds,11.78,-72.44,Del mar vendra
758,Rocha,UY,70.68,light rain,-34.48,-54.33,Beleza Pura B&B
759,Wajir,KE,80.6,clear sky,1.75,40.06,Al- Amin lodge
762,San Patricio,US,82.0,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
774,Butaritari,KI,80.76,overcast clouds,3.07,172.79,Isles Sunset Lodge
775,Dingle,PH,73.35,overcast clouds,11.0,122.67,SEGAYA PROPERTY
778,Tuy Hoa,VN,74.16,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
779,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
795,Bandar-E Lengeh,IR,77.0,clear sky,26.56,54.88,کافی نت پارس
796,Cidreira,BR,70.56,clear sky,-30.18,-50.21,Hotel Castelo
798,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
802,Saint Anthony,US,70.0,broken clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
806,Menongue,AO,71.58,overcast clouds,-14.66,17.69,Ritz Lauca
808,Sinnamary,GF,84.18,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
809,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
814,Isangel,VU,77.36,clear sky,-19.55,169.27,Volcano Sea View Tree House
817,Castro,BR,79.97,clear sky,-24.79,-50.01,CHACARA BAILLY
819,Bilma,NE,72.72,clear sky,18.69,12.92,Expeditions Ténére voyages
820,Saint Marys,US,80.6,clear sky,30.73,-81.55,Spencer House Inn
825,Puerto Narino,CO,87.8,thunderstorm,-3.77,-70.38,Eware Refugio Amazonico
826,Lavumisa,SZ,75.0,overcast clouds,-27.31,31.89,ROADSIDE B&B
830,Morehead,US,78.8,clear sky,37.27,-87.18,CCI Express Inn
831,Garowe,SO,75.78,scattered clouds,8.41,48.48,Curubo Hotel
833,Dumas,US,73.0,clear sky,35.87,-101.97,Holiday Inn Express & Suites Dumas
835,Jibuti,DJ,82.4,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
837,Santa Rosa,PH,75.2,very heavy rain,14.31,121.11,Erlyn’s Sta Rosa City Home
838,Rafaela,AR,88.0,clear sky,-31.25,-61.49,Parra Hotel & Suites
842,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
843,Tomatlan,MX,88.93,broken clouds,19.93,-105.25,Norma franco
844,Hithadhoo,MV,83.3,light rain,-0.6,73.08,Scoop Guest House
847,Tambura,SS,74.14,overcast clouds,5.6,27.47,Guest hous Tambura
848,Mbandaka,CD,73.85,overcast clouds,0.05,18.26,Guest House Epervier
850,Kavieng,PG,82.31,scattered clouds,-2.57,150.8,Nusa Island Retreat
855,Noumea,NC,78.01,broken clouds,-22.28,166.46,Hôtel Le Lagon
856,Camocim,BR,88.02,overcast clouds,-2.9,-40.84,Hotel Ilha do Amor
861,Georgetown,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
862,Takoradi,GH,79.23,light rain,4.88,-1.76,Raybow International Hotel
863,Bundaberg,AU,73.0,overcast clouds,-24.85,152.35,Takalvan Motel
867,Meulaboh,ID,76.68,overcast clouds,4.14,96.13,Kost Pria
870,Kapit,MY,73.87,overcast clouds,2.02,112.93,Hotel Meligai Kapit
871,Trairi,BR,84.45,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
873,Srivardhan,IN,78.03,clear sky,18.03,73.02,Savli Resort/Hotel - Shrivardhan
877,Bathsheba,BB,86.0,shower rain,13.22,-59.52,Atlantis Hotel
880,Marsh Harbour,BS,79.56,overcast clouds,26.54,-77.06,Abaco Beach Resort
885,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
886,Sarh,TD,82.4,clear sky,9.14,18.39,Hôtel des Chasses
894,Miri,MY,78.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
896,Kaele,CM,81.72,scattered clouds,10.11,14.45,Hotel Du Centre
897,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
898,Kirakira,SB,78.84,light rain,-10.45,161.92,SanBiz Lodge
899,East London,ZA,71.6,clear sky,-33.02,27.91,Tu Casa
900,Coahuayana,MX,80.6,few clouds,18.73,-103.68,Hotel Los Arcos
901,Yulara,AU,75.2,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
902,Manokwari,ID,79.77,light rain,-0.87,134.08,Swiss Belhotel Manokwari
904,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
