City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.08,-159.32,78.8,88,40,8.05,
1,Barrow,US,71.29,-156.79,30.2,86,90,23.04,
2,Punta Arenas,CL,-53.15,-70.92,59.0,51,75,21.92,
3,Atuona,PF,-9.8,-139.03,77.61,73,88,15.93,
4,Jamestown,US,42.1,-79.24,66.99,42,1,9.17,
5,Tigil,RU,57.8,158.67,26.42,94,95,4.92,
6,Hamilton,US,39.18,-84.53,73.0,37,1,5.82,
7,Vaini,TO,-21.2,-175.2,71.6,88,20,5.82,
8,Ribeira Grande,PT,38.52,-28.7,60.8,77,40,11.41,
9,Ucluelet,CA,48.93,-125.55,42.8,81,5,3.36,
10,Ushuaia,AR,-54.8,-68.3,60.8,41,75,23.04,
11,Mala Vyska,UA,48.64,31.64,44.37,95,67,6.2,
12,Bethel,US,41.37,-73.41,73.99,35,1,8.05,
13,Ledyard,US,41.44,-72.01,69.01,72,1,11.41,
14,Tuktoyaktuk,CA,69.45,-133.04,26.6,79,75,21.92,
15,Ndola,ZM,-12.96,28.64,75.33,24,96,7.23,
16,Hobart,AU,-42.88,147.33,42.01,86,1,9.17,
17,Khatanga,RU,71.97,102.5,-4.85,88,9,11.79,
18,Cape Town,ZA,-33.93,18.42,64.99,82,75,13.87,
19,Bredasdorp,ZA,-34.53,20.04,60.8,72,0,9.17,
20,Hermanus,ZA,-34.42,19.23,64.99,54,0,11.01,
21,Knyaze-Volkonskoye,RU,48.46,135.46,26.6,92,90,8.95,
22,Suileng,CN,47.25,127.08,28.44,98,100,10.94,
23,Norman Wells,CA,65.28,-126.83,21.2,92,75,3.36,
24,Puerto Ayora,EC,-0.74,-90.35,77.0,65,40,18.34,
25,Saint-Philippe,RE,-21.36,55.77,73.4,78,75,17.22,
26,Torrington,US,41.8,-73.12,72.0,46,1,3.0,
27,Ranong,TH,9.97,98.63,77.2,87,18,4.23,
28,Aden,YE,12.78,45.04,79.72,75,6,16.4,
29,Kodiak,US,57.79,-152.41,35.6,89,40,9.86,
30,Kathu,TH,7.92,98.33,86.0,94,40,2.24,
31,Cherskiy,RU,68.75,161.3,5.95,95,100,6.4,
32,Hilo,US,19.73,-155.09,75.2,88,90,5.82,
33,Busselton,AU,-33.65,115.33,55.0,66,54,3.27,
34,Vila Franca Do Campo,PT,37.72,-25.43,62.6,63,40,11.41,
35,Lebu,CL,-37.62,-73.65,57.07,59,0,21.5,
36,Mataura,NZ,-46.19,168.86,46.99,74,100,10.0,
37,Carnarvon,AU,-24.87,113.63,71.6,73,90,12.75,
38,Ayan,RU,56.45,138.17,12.61,86,85,17.72,
39,Saryg-Sep,RU,51.5,95.6,24.84,95,21,2.77,
40,Thompson,CA,55.74,-97.86,17.6,85,90,2.24,
41,Rikitea,PF,-23.12,-134.97,71.24,74,53,19.42,
